Title,Release Year,Parent Rating,genre,Summary,Writers,Stars,Direcctor
Nobody,2021,R,"Action, Crime, Drama","A docile family man slowly reveals his true character after his house gets burgled by two petty thieves, which, coincidentally, leads him into a bloody war with a Russian crime boss.",Derek Kolstad,"Bob Odenkirk, Aleksey Serebryakov, Connie Nielsen",Ilya Naishuller
Oba Bi Olorun,,,Drama,,,"Seilat Adebowale, Muyiwa Ademola, Kareem Adepoju",
Prophetess,,,"Comedy, Drama","Ajoke, a local Spiritualist, makes a bogus prediction about a football match which sets off a chain of events that escalate beyond her control. With her life threatened by several aggrieved parties, she enlists the help of her twin sister to save her.","Niyi Akinmolayan, Yusuf Carew, Amaka Chidioka","Toyin Abraham, Kehinde Bankole, Kunle Remi",Niyi Akinmolayan
Mortal Kombat,2021,R,"Action, Adventure, Fantasy",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,"Greg Russo, Dave Callaham, Oren Uziel","Lewis Tan, Jessica McNamee, Josh Lawson",Simon McQuoid
Mortal Kombat,1995,PG-13,"Action, Adventure, Fantasy",Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,"Ed Boon, John Tobias, Kevin Droney","Christopher Lambert, Robin Shou, Linden Ashby",Paul W.S. Anderson
Breaded Life,2021,,"Comedy, Drama",,Biodun Stephen,"Lateef Adedimeji, Bimbo Ademoye, Bisola Aiyeola",Biodun Stephen
Chaos Walking,2021,PG-13,"Action, Adventure, Fantasy",Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,"Patrick Ness, Christopher Ford","Tom Holland, Daisy Ridley, Demián Bichir",Doug Liman
Vanquish,2021,R,"Action, Thriller","A mother, Victoria, is trying to put her dark past as a Russian drug courier behind her, but retired cop Damon forces Victoria to do his bidding by holding her daughter hostage.","Samuel Bartlett, George Gallo","Morgan Freeman, Ruby Rose, Patrick Muldoon",George Gallo
Vanquish,2010,,"Action, Sci-Fi","In the near future, Sam Gideon and a team of soldiers are hired by the president of the United States to recover a space station that's been taken over by a Russian ultra nationalist.","Hiroki Kato, Jean Pierre Kellams","Ken'ichirô Matsuda, Chieko Honda, Teruyuki Tanzawa",Shinji Mikami
Vanquish,,,Fantasy,,"See writer, See producer",See preliminary cast,See company contact information
Suga Suga,,,Comedy,A rich old man's love of philandering with younger women drives his wife and family to extremes.,"Priscilla Okpara, Richards Omos-Iboyi","Tana Adelana, Ayo Adesanya Hassan, Vivian Anani",Richards Omos-Iboyi
Believe in You,2020,,"Adventure, Drama, Musical","A contemporary thriller drama based on real-life event, a music producer determined to help young talents achieve their dream crosses path with an estranged female artist struggling to survive an abusive relationship.",Isioro Tokunbo Jaboro,"Nosa Obaseki, Karen Simpson, Beverly Naya",Isioro Tokunbo Jaboro
Believe in You,2018– ,,Documentary,,,Kevin Laue,
Wrath of Man,2021,R,"Action, Crime, Thriller","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.","Nicolas Boukhrief, Éric Besnard, Guy Ritchie","Jason Statham, Holt McCallany, Josh Hartnett",Guy Ritchie
Ngo si seoi,1998,PG-13,"Action, Adventure, Comedy","A Secret Agent loses his memory after falling from a crashing helicopter. He is then chased by several other agency operatives, but he has no idea why.","Jackie Chan, Susan Chan, Lee Reynolds","Jackie Chan, Michelle Ferre, Mirai Yamamoto",Benny Chan
Dream Job,2022– ,,"Comedy, Mystery, Sci-Fi","A sci-fi comedy series following Sofia Rousseau and the team of a mediocre dream therapy clinic, as they use futuristic technology to help people with various dream-related ailments, and provide custom dream experiences to paying clients.",,"Mélie B. Rondeau, Simone Jetsun, Nick Newcastle",
Dream Job,2021,,"Comedy, Drama","After years of unemployment and a recent painful breakup, Uche is determined to change his fate by securing a space in the corporate world, hoping get back his girl. Suddenly all his wishes are coming true. Has his luck finally changed?",Pearl Agwu,"Pearl Agwu, Sophie Alakija, Tonero Beshel",Kayode Peters
Dream Job,2004– ,,"Game-Show, Reality-TV, Sport",12 finalists compete for the ultimate sports job... a sportscaster for ESPN's Sportscenter.,,"Michael Magid, Kit Hoover, Grant Thompson",
Dream Job,2017,,"Short, Comedy, Romance","Fresh out of college, Nicole gets her first big girl job only to realize it may not be the dream job she had in mind.","Christina Cigala, Sierra Glasscock, Kate Krassowski","David Gallegos, Erica Hanrahan-Ball, Joseph Roberts",Christina Cigala
Mamba's Diamond,,,Action,,Darlington Abuda,"Gabriel Afolayan, Venita Akpofure, Osas Ighodaro",Seyi Babatope
Those Who Wish Me Dead,2021,R,"Action, Crime, Drama",A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,"Michael Koryta, Charles Leavitt, Taylor Sheridan","Angelina Jolie, Nicholas Hoult, Finn Little",Taylor Sheridan
Mimi,2021,TV-14,"Comedy, Drama",Mimi is introduced by Bhanu to an American couple as a surrogate in exchange for Rs 2 million. She decides to have the baby even when they change their mind and tells her parent that Bhanu is the father.,"Laxman Utekar, Rohan Shankar, Samruoddhi Porey","Kriti Sanon, Evelyn Edwards, Pankaj Tripathi",Rajesh Bhatia
Spiral: From the Book of Saw,2021,R,"Crime, Drama, Horror","A criminal mastermind unleashes a twisted form of justice in Spiral, the terrifying new chapter from the book of Saw.","Josh Stolberg, Pete Goldfinger","Chris Rock, Samuel L. Jackson, Max Minghella",Darren Lynn Bousman
Engrenages,2005–2020,,"Crime, Drama, Mystery",Follows criminal investigations in Paris from all the different points of view of those involved.,,"Caroline Proust, Audrey Fleurot, Thierry Godard",
Spiral,2019,Not Rated,"Drama, Horror, Mystery","A same-sex couple move to a small town to enjoy a better quality of life and raise their daughter with strong social values. But when neighbors throw a very strange party, nothing is as it seems in their picturesque neighborhood.","Colin Minihan, John Poliquin","Jeffrey Bowyer-Chapman, Ari Cohen, June Laporte",Kurtis David Harder
Uzumaki,2000,,"Drama, Fantasy, Horror",The inhabitants of a small Japanese town become increasingly obsessed with and tormented by spirals.,"Sean Bishop, David Feiss, Junji Ito","Eriko Hatsune, Fhi Fan, Hinako Saeki",Higuchinsky
Dead Expensive,,,Comedy,"After the death of a wealthy man, his children find themselves battling with greedy relatives who will do anything to get their hands on his inheritance.",,"Rebecca Amushie, Ujunwa Aninneji, Charles Inojie",
Elina,2016,,"Crime, Drama, Thriller",Elina is a mixed race 17 year old girl who is being bullied by a cruel out of work racist stepdad.,Bruce Schwartz,"Sara Dowling, Kelly Love, Christian Malmin",Bruce Schwartz
Lockdown,2000,R,"Drama, Thriller","Avery (Jones) returns to college as a competitive swimmer after getting his life back on track. But his life takes another unexpected turn when he and his two friends (Bonds, Casseus) are wrongly accused of murder and end up in prison.",Preston A. Whitmore II,"Richard T. Jones, De'aundre Bonds, Gabriel Casseus",John Luessenhop
Lockdown,2022,R,"Action, Drama","Chaos reigns in Los Angeles when three criminals, led by a psychotic mastermind named McMasters, takes over a police station and threaten to kill everyone in it unless a large ransom is paid. FBI special agent Roger Kinkaid (Michael Pare') uses his extensive knowledge in a bid to outwit the criminals and save the hostages, but one question remains: even if they get th... Read all","Massimiliano Cerchi, Rod Smith","Michael Paré, Bai Ling, Michael Wainwright",Massimiliano Cerchi
Cruella,2021,PG-13,"Adventure, Comedy, Crime",A live-action prequel feature film following a young Cruella de Vil.,"Dana Fox, Tony McNamara, Aline Brosh McKenna","Emma Stone, Emma Thompson, Joel Fry",Craig Gillespie
Silent Murder,,,Drama,,Sandra Osawaru,"Tersy Akpata, Eniola Badmus, Saidi Balogun",Sandra Osawaru
My Village People,,,"Comedy, Fantasy",A young man's weakness for women lands him in trouble when he is caught in a bizarre love triangle with witches.,Bovi Ugboma,"Akah Nnani, Venita Akpofure, Rachel Oniga",Niyi Akinmolayan
Spirit Untamed,2021,PG,"Animation, Adventure, Comedy",Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.,"Aury Wallington, Kristin Hahn, Katherine Nolfi","Isabela Merced, Marsai Martin, Mckenna Grace",Elaine Bogan
In the Heights,2021,PG-13,"Drama, Musical, Romance","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life.","Quiara Alegría Hudes, Lin-Manuel Miranda","Anthony Ramos, Corey Hawkins, Leslie Grace",Jon M. Chu
Ayinla,2021,,Drama,"Ayinla is a musical eponymous film based on the life of Ayinla Yusuf popularly known as Ayinla Omowura, an Apala musician who was stabbed to death by his manager named Bayewu in a bar fight on May 6, 1980 at Abeokuta.",Ade Derek Adeniji,"Edunjobi Abdulganiu, Adebowale Adedayo, Lateef Adedimeji",Tunde Kelani
Luca,2021,PG,"Animation, Adventure, Comedy","On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human.","Enrico Casarosa, Jesse Andrews, Simon Stephenson","Jacob Tremblay, Jack Dylan Grazer, Emma Berman",Enrico Casarosa
Luca,,,Talk-Show,IMDb sits down with the cast and creators of Disney and Pixar's latest animated feature about two teenage sea monsters who share a life-changing summer along the Italian Riviera.,,Bret Federigan,
Devil in Agbada,2021,,Action,3 young strangers who have been wronged in a bid to find justice form an alliance to bring a ruthless and vicious politician down. They subject themselves to physical and psychological training in order to execute the justice society has failed to grant them. Will they succeed and will this revenge bring them the peace they so desperately seek?,Chinneylove Eze,"Uzor Arukwe, Alexx Ekubo, Desmond Elliot",Umanu Elijah
Black Widow,2021,PG-13,"Action, Adventure, Sci-Fi",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,"Eric Pearson, Jac Schaeffer, Ned Benson","Scarlett Johansson, Florence Pugh, David Harbour",Cate Shortland
Black Widow,1987,R,"Crime, Drama, Thriller",A federal investigator tracks down a gold-digging woman who moves from husband to husband to kill them and collect the inheritance.,Ronald Bass,"Debra Winger, Theresa Russell, Sami Frey",Bob Rafelson
Black Widow,1954,Approved,"Drama, Film-Noir, Mystery",A young writer insinuates herself into the life of a Broadway producer.,"Nunnally Johnson, Hugh Wheeler, Richard W. Webb","Ginger Rogers, Van Heflin, Gene Tierney",Nunnally Johnson
Black Widow,2008,,"Crime, Mystery, Thriller",A photo journalist begins to suspect her best friend Danny's new love interest could be linked to the murders of wealthy men.,"Riley Weston, Jeremy Bernstein","Elizabeth Berkley, Alicia Coppola, Adriana DeMeo",Armand Mastroianni
Tenant of the House,2019,,Drama,"A driven politician looks to settle a long-standing crisis amid corruption, romance and personal agendas.","Tunde Babalola, Wale Okediran","Ahmed Abdulrasheem, Jadesola Abolanle, Idris Abubaka",Kunle Afolayan
Hustle,2022,R,"Comedy, Drama, Sport",A washed-up basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,"Will Fetters, Taylor Materne","Adam Sandler, Ben Foster, Robert Duvall",Jeremiah Zagar
Hustle,2004–2012,,"Crime, Drama, Mystery",A motley group of London con artists pulls off a series of daring and intricate stings.,,"Robert Glenister, Robert Vaughn, Rob Jarvis",
Space Jam: A New Legacy,2021,PG,"Animation, Adventure, Comedy","A rogue artificial intelligence kidnaps the son of famed basketball player LeBron James, who then has to work with Bugs Bunny to win a basketball game.","Leo Benvenuti, Steve Rudnick, Timothy Harris","LeBron James, Don Cheadle, Cedric Joe",Malcolm D. Lee
Space Jam: A New Legacy,,,Talk-Show,Don Cheadle and the cast of ‘Space Jam: A New Legacy’ reveal what LeBron James was really like on set and which cast members dared to challenge him to a game of basketball. Sonequa Martin-Green and Gabriel Iglesias also share why the original ‘Space Jam’ meant so much to them.,,,
Gone,2012,PG-13,"Action, Adventure, Mystery",A woman is convinced her kidnapper has returned when her sister goes missing.,Allison Burnett,"Amanda Seyfried, Jennifer Carpenter, Wes Bentley",Heitor Dhalia
Gunpowder Milkshake,2021,R,"Action, Crime, Thriller",Three generations of women fight back against those who could take everything from them.,"Navot Papushado, Ehud Lavski","Karen Gillan, Lena Headey, Carla Gugino",Navot Papushado
Jungle Cruise,2021,PG-13,"Action, Adventure, Comedy",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,"Michael Green, Glenn Ficarra, John Requa","Dwayne Johnson, Emily Blunt, Edgar Ramírez",Jaume Collet-Serra
Old,2021,PG-13,"Drama, Horror, Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","M. Night Shyamalan, Pierre-Oscar Lévy, Frederik Peeters","Gael García Bernal, Vicky Krieps, Rufus Sewell",M. Night Shyamalan
Free Guy,2021,PG-13,"Action, Adventure, Comedy","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","Matt Lieberman, Zak Penn","Ryan Reynolds, Jodie Comer, Taika Waititi",Shawn Levy
Bitter Rain,,,Adventure,"Written by Hannah Nwasor, 'Bitter Rain' tells the story of a group of individuals from the city; a journalist seeking to find the truth and an adventure-seeking who converge on a mystical celebration in a distant town of Ahaba, leading to a rollercoaster of events that will leave viewers glued to their seats.",Hannah Nwasor,"George Nanakwesi Chux, Alexx Ekubo, Mike Ezuruonye",Toka McBaror
Bell Bottom,2019,,"Comedy, Thriller",Police constable Divakar finally gets a chance to fulfill his childhood dream of becoming a detective when a mysterious robbery takes place at the local police station.,Jayathirtha,"Rishab Shetty, Haripriya, Yograj Bhat",Jayathirtha
Bell Bottom,,,Thriller,"Krishna plays a cop, who takes up one of the biggest cases to investigate in order to establish him as a spy. But that investigation leads him to several other mysteries",,"Kreshna, Mahima Nambiar, Saravanan",
PAW Patrol,2013– ,,"Animation, Adventure, Comedy","Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are occasionally joined by newer helpers: Cap'n Turbot, Robo-Dog, Everest, and Tracker.",,"Ron Pardo, Kallan Holley, Devan Cohen",
PAW Patrol,2018,,Animation,"The Paw Patrol explore a Whole New World of Adventure, Save Anyone in need, and Defeat Sweetie.",,"Dogen Eyeler, Lilly Bartlam",
Reminiscence,2021,PG-13,"Mystery, Romance, Sci-Fi","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",Lisa Joy,"Hugh Jackman, Rebecca Ferguson, Thandiwe Newton",Lisa Joy
Tsuioku,2017,,"Drama, Mystery",Three childhood friends reunite over a murder case.,"Takeshi Aoshima, Tomoyuki Takimoto","Sakura Andô, Tasuku Emoto, Fumino Kimura",Yasuo Furuhata
Bad Comments,2020,,Comedy,"Frank Orji is an actor with a vibrant career. After an edited video of him comes out online, his reputation is tarnished. It causes Frank to be excessively cyberbullied by trolls. With the help of a hacker, his bodyguard and his personal assistant, Frank decides to track down the bullies and give them a taste of his own medicine.","Moses Inwang, Anthony Kehinde Joseph","Jim Iyke, Osas Ighodaro, Sharon Ooja",Moses Inwang
Malignant,2021,R,"Crime, Horror, Mystery","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.","James Wan, Ingrid Bisu, Akela Cooper","Annabelle Wallis, Maddie Hasson, George Young",James Wan
Malignant,2013,Not Rated,"Horror, Sci-Fi, Thriller","After the death of his wife, a grieving man becomes the victim of a horrific experiment to cure his addiction.",Brian Avenet-Bradley,"Gary Cairns, Nick Nicotera, Sienna Farall",Brian Avenet-Bradley
Malignant,,,Drama,,Brandon Calvillo,"Brandon Calvillo, Eliza Helm",Brandon Calvillo
Malignant,,,Thriller,"A renowned botanist endeavors to cure the cancer that's killing her, unknowingly going head-to-head with the very people who secretly made her sick.",,"Jacob Egbert, Amelia Yokel",
Candyman,2021,R,"Horror, Thriller",A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.,"Jordan Peele, Win Rosenfeld, Nia DaCosta","Yahya Abdul-Mateen II, Teyonah Parris, Nathan Stewart-Jarrett",Nia DaCosta
Candyman,1992,15,"Horror, Thriller","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.","Clive Barker, Bernard Rose","Virginia Madsen, Xander Berkeley, Tony Todd",Bernard Rose
Candyman,2010,Not Rated,"Documentary, Biography","The story of the rise and fall of David Klein, the man who invented Jelly Belly jelly beans.",Bert Klein,"David Herman Klein, Bert Klein, 'Weird Al' Yankovic",Costa Botes
Candyman,2013,,"Action, Mystery","Something beautiful can turn out into a nightmare. A mystery woman, a spider-woman but he never gives up on her. He always get what he wants.",Manos Krystalis,"Manos Krystalis, Stephanie Martinez",Manos Krystalis
Love Castle,2021,,Drama,"Living in Houston Texas, USA, with her family, ADETUTU was met with the news of her father's death on a visit to Nigeria and now she must be crowned a Regent as a daughter of the late King.",Beatrice Funke Ogunmola,"Halimar Abubakar, Femi Adebayo, Lateef Adedimeji",Desmond Elliot
De Wedding Gift,,,"Comedy, Drama","A happy couple are staging their dream wedding, but when the time comes to open the gifts, secrets are revealed.","Ebuka Ifebunso, Florenda Panpe","Esther Audu, Shaffy Bello, Blossom Chukwujekwu",Emmanuel Unegbu
Mofe Ni Mofe,2021,,"Comedy, Drama","Determined to show off to everyone who had shamed her in the past, Moji wants to have the biggest wedding possible, but her fiance has different ideas.","Mike Adejonwo, Debola Ogunshina","Lateef Adedimeji, Jumoke Odetola, Tope Tedela",Debola Ogunshina
Fools' Day,2021,,Comedy,A couple preparing for a party find themselves accidentally unearthing the secrets of their children and staff as they search for a missing shoe.,"Minna Davis, Olufemi Oke","Omowunmi Dada, Tina Mba, Iyabo Ojo",Tunde Olaoye
No Time to Die,2021,PG-13,"Action, Adventure, Thriller","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","Neal Purvis, Robert Wade, Cary Joji Fukunaga","Daniel Craig, Ana de Armas, Rami Malek",Cary Joji Fukunaga
No Time to Die,2006,Not Rated,Comedy,"Asante, a hearse driver in Ghana, wants a wife. His profession puts most women off. He falls in love with a client whose mother has died, and manages to win her over. But her father forbids marriage to a hearse driver. Asante persists and becomes the first hearse driver in Accra to get married.","King Ampaw, Klaus Bädekerl","Fritz Baffour, Kofi Bucknor, Agnes Dapaa",King Ampaw
Hide N Seek,2013,,"Drama, Thriller","Mi-young is playing hide-and-seek with a doll. Oh-gun lives hiding his dark history and Min-su follows Oh-gun to revenge. One day, destiny of these three was entwined, and their story begins.",Han-Uk Lee,"Jerina Son, Byung-Soon Yu",Han-Uk Lee
Hide N Seek,,,,,Ilmar Molder,"Ilmar Molder, Jaan Molder, Jakob Molder",Ilmar Molder
Die Büchse der Pandora,1929,Not Rated,"Crime, Drama, Romance",The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,"Frank Wedekind, Ladislaus Vajda, Joseph Fleisler","Louise Brooks, Fritz Kortner, Francis Lederer",Georg Wilhelm Pabst
Pandora's Box,2002,R,"Drama, Thriller","Mia DuBois (Calhoun) is a walking cliché--a successful therapist with an unsuccessful marriage. Her husband, Victor (St. John), is more interested in working on his laptop than on her. So she is very receptive to hearing about the wild sex life that her new client Tammy (Wilson) and Tammy's husband enjoyed, before he was murdered. Mia even accepts an invitation from T... Read all","Gregory Ramon Anderson, Rob Hardy, Will Packer","Chrystale Wilson, Tyson Beckford, Joey Lawrence",Rob Hardy
Pandora'nin kutusu,2008,,Drama,"When an aging matriarch starts showing signs of dementia, her dysfunctional family in Istanbul must navigate a minefield of unresolved issues to care for her.","Sema Kaygusuz, Yesim Ustaoglu","Tsilla Chelton, Derya Alabora, Onur Ünsal",Yesim Ustaoglu
Pandora's Box,1992,,Documentary,The consequences of exploiting technological and political ideas without understanding and concern for the outcome.,,"George Ball, Milton Friedman, Joan Halifax",
Pandora's Box,2015– ,,Drama,"The New urban web series follows the life of Pandora, a lesbian entrepreneur who always takes care of everything and everybody, except herself of course. Although, she seems happy on the outside, on the inside she is torn apart dealing with infidelities of her wife, Rio, all while recovering from some serious ghosts from her past. This edgy show touches on subjects of... Read all",,"Pandora Monrose, Nellie MisFit, Annetta Cross",
13 Letters,,,"Comedy, Drama",A confirmed playboy is forced to rethink his attitude when 13 of his ex-girlfriends take their grievances to social media.,Pearl Agwu,"Bimbo Ademoye, Temidayo Adenibuyan, Adedamola Adewole",Kayode Peters
Charge and Bail,2021,,"Comedy, Drama",A high-flying lawyer from the upper class finds herself posted to a charge and bail law firm.,Chinaza Onuzo,"Femi Adebayo, Zainab Balogun, Pere Egbi",Uyoyou Adia
April Showers,2009,R,"Crime, Drama","After a school shooting leaves 14 people dead, survivor Sean Ryan is forced to come to terms with loss.",Andrew Robinson,"Kelly Blatz, Daryl Sabara, Janel Parrish",Andrew Robinson
April Showers,1948,Approved,Musical,"The 'Two Tymes', Joe and June, need to change up their dogeared vaudeville act - fast. Cue their son Buster; a cocky hoofer who bolts from boarding school and joins them, propelling the trio into the big time. But success brings trouble.","Joe Laurie Jr., Peter Milne","Jack Carson, Ann Sothern, Robert Alda",James V. Kern
April Showers,,,"Drama, Romance",,Pacass Adebayo,"Pere Egbi, Sasha Ekama, Uzoamaka Enoch",Richards Omos-Iboyi
April Showers,1923,,Comedy,,"Louis D. Lighton, Hope Loring","Colleen Moore, Kenneth Harlan, Ruth Clifford",Tom Forman
Águas Mil,2009,,Drama,"April 1974 saw the fall of a long lasting dictatorship. The young democracy developed in the midst of much social and political turmoil. The armed wing of a leftist group changed the future of one family - the father disappears without trace, the mother denies their past, and the son grows up with unanswered questions. As a young man, Pedro is determined to reach for ... Read all","Ivo Ferreira, Margaret Glover, Manuel Mozos","Gonçalo Waddington, Joana Seixas, Hugo Tourita",Ivo Ferreira
Wish Dragon,2021,PG,"Animation, Adventure, Comedy",Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,"Chris Appelhans, Xiaocao Liu","Jimmy Wong, John Cho, Constance Wu",Chris Appelhans
Odotus,2021,,"Drama, Romance",Updated version of a 19th century romance set on an island in the Finland archipelago sea.,"Juhani Aho, Inka Kallén, Aku Louhimies","Inka Kallén, Andrei Alén, Aku Hirviniemi",Aku Louhimies
Dune: Part One,2021,PG-13,"Action, Adventure, Drama",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Jon Spaihts, Denis Villeneuve, Eric Roth","Timothée Chalamet, Rebecca Ferguson, Zendaya",Denis Villeneuve
Dune,1984,G,"Action, Adventure, Sci-Fi",A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.,"Frank Herbert, David Lynch","Kyle MacLachlan, Virginia Madsen, Francesca Annis",David Lynch
Dune,2000,,"Adventure, Drama, Sci-Fi","A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",,"William Hurt, Alec Newman, Giancarlo Giannini",
Ron's Gone Wrong,2021,PG,"Animation, Adventure, Comedy","The story of Barney, an awkward middle-schooler and Ron, his new walking, talking, digitally-connected device. Ron's malfunctions set against the backdrop of the social media age launch them on a journey to learn about true friendship.","Peter Baynham, Sarah Smith","Jack Dylan Grazer, Zach Galifianakis, Ed Helms",Sarah Smith
Venom: Let There Be Carnage,2021,PG-13,"Action, Adventure, Sci-Fi","Eddie Brock attempts to reignite his career by interviewing serial killer Cletus Kasady, who becomes the host of the symbiote Carnage and escapes prison after a failed execution.","Kelly Marcel, Tom Hardy","Tom Hardy, Woody Harrelson, Michelle Williams",Andy Serkis
Beautifool,,,Comedy,,"Chika Nwosu, Priscilla Okpara, Richards Omos-Iboyi","Tana Adelana, Chika Agwuike, Esther Enoch",Richards Omos-Iboyi
Halloween Kills,2021,R,"Horror, Thriller",Surviving victims of Michael Myers form a vigilante mob and vow to end his reign of terror after they discover that he is still alive.,"John Carpenter, Debra Hill, Scott Teems","Jamie Lee Curtis, Judy Greer, Andi Matichak",David Gordon Green
Black Out,2012,Not Rated,"Action, Comedy, Crime","After ruthless gangsters wrongfully accuse him of stealing from them, a retired criminal has 24 hours to creep back into his past life and retrieve a bag of coke before his fiancée is killed.","Gerben Hellinga, Melle Runderkamp, Luuk Frank van Heerde","Raymond Thiry, Kim van Kooten, Bas Keijzer",Arne Toonen
Black Out p.s. Red Out,1998,,"Drama, Mystery, Romance","After her fighter pilot boyfriend crashes his jet into the ocean, a Greek fashion model reflects on their relationship and how it started, developed, then deteriorated.","Menelaos Karamaghiolis, Evgenia Liroudia, Vassilis Vassilikos","Alkis Kourkoulos, Mirto Alikaki, Kleon Gregoriadis",Menelaos Karamaghiolis
Black Out,2022– ,,Drama,"An earthquake isolates a luxury hotel and the mountain valley in which it stands, causing a general blackout. Days pass, help does not arrive and communication seems impossible. Isolation and the gradual depletion of supplies increase the conflicts but give some of the survivors, first and foremost Giovanni and Claudia, murderer and unwitting victim, an unexpected cha... Read all",,"Fabio Sartor, Alessandro Preziosi, Rike Schmid",
Sooryavanshi,2021,,"Action, Crime, Thriller","Sooryavanshi traces the acts and serious antics of DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India.","Sanchit Bedre, Vidhi Ghodgaonkar, Yunus Sajawal","Akshay Kumar, Katrina Kaif, Ajay Devgn",Rohit Shetty
Ring of Deceit,2009,,Thriller,"Madison Byrne is a beautiful young art expert who tries to help Jack Singer, a wealthy patron of her museum, unlock the mystery of an antique ring. This ring may or may not have belonged to his family before being lost in WWII. As she inches closer to the truth, the danger grows and Madison begins to suspect that Jack may not be as innocent as he appears. Could he be ... Read all",Randy Duniz,"Rebecca Mader, Cameron Bancroft, Claudia Ferri",Jean-Claude Lord
Ring of Deceit,,,Drama,A suspense-filled and twisted love story between a family and their prospective in-laws. Secrets and lies must remain buried and unexposed to avoid an explosive scandal.,"Andy Boyo, Ekomobong Ekpenyong","Segun Arinze, Blessing Koko Ashley, Belinda Effah",Andy Boyo
Last Night in Soho,2021,R,"Drama, Horror, Mystery",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,"Edgar Wright, Krysty Wilson-Cairns","Thomasin McKenzie, Anya Taylor-Joy, Matt Smith",Edgar Wright
Ghostbusters: Afterlife,2021,PG-13,"Adventure, Comedy, Fantasy","When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.","Gil Kenan, Jason Reitman, Dan Aykroyd","Carrie Coon, Paul Rudd, Finn Wolfhard",Jason Reitman
King Richard,2021,PG-13,"Biography, Drama, Sport",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.,Zach Baylin,"Will Smith, Aunjanue Ellis, Jon Bernthal",Reinaldo Marcus Green
Alagogo Ide,,,"Drama, Fantasy",A woman tormented by witchcraft calls on God to save her.,Chris Anyanya,"Femi Adebayo, Lateef Adedimeji, Damipe Adekoya",Bogunmbe Abiola Paul
African Messiah,2021,,"Comedy, Drama",A vibrant young social media star attempts to run in the Nigerian presidential elections.,Blessing Effiom Egbe,"Nadia Buari, Speed Darlington, Lasisi Elenu",Blessing Effiom Egbe
House of Gucci,2021,R,"Crime, Drama","When Patrizia Reggiani, an outsider from humble beginnings, marries into the Gucci family, her unbridled ambition begins to unravel their legacy and triggers a reckless spiral of betrayal, decadence, revenge, and ultimately...murder.","Becky Johnston, Roberto Bentivegna, Sara Gay Forden","Lady Gaga, Adam Driver, Al Pacino",Ridley Scott
Encanto,2021,PG,"Animation, Comedy, Family",A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Charise Castro Smith, Jared Bush, Byron Howard","Stephanie Beatriz, María Cecilia Botero, John Leguizamo",Jared Bush
